class_id,class_name,precision,recall,f1_score,support
0,airplane,0.8679446219382322,0.815,0.8406395048994327,1000
1,automobile,0.9291417165668663,0.931,0.9300699300699301,1000
2,bird,0.7886363636363637,0.694,0.7382978723404255,1000
3,cat,0.8651685393258427,0.462,0.6023468057366362,1000
4,deer,0.7825261158594492,0.824,0.8027277155382367,1000
5,dog,0.6400310318076028,0.825,0.7208387942332897,1000
6,frog,0.8282265552460538,0.892,0.8589311506981223,1000
7,horse,0.7406523468575974,0.931,0.8249889233495791,1000
8,ship,0.923728813559322,0.872,0.897119341563786,1000
9,truck,0.8721951219512195,0.894,0.882962962962963,1000
