class_id,class_name,precision,recall,f1_score,support
0,airplane,0.8927250308261405,0.724,0.7995582551076753,1000
1,automobile,0.9588571428571429,0.839,0.8949333333333334,1000
2,bird,0.7204399633363886,0.786,0.7517934002869441,1000
3,cat,0.5029691211401425,0.847,0.6311475409836066,1000
4,deer,0.8957219251336899,0.67,0.7665903890160183,1000
5,dog,0.8388278388278388,0.687,0.7553600879604178,1000
6,frog,0.8968609865470852,0.8,0.8456659619450317,1000
7,horse,0.9290780141843972,0.786,0.8515709642470206,1000
8,ship,0.8973346495557749,0.909,0.9031296572280179,1000
9,truck,0.782964782964783,0.956,0.8608734804142278,1000
