class_id,class_name,precision,recall,f1_score,support
0,airplane,0.8480885311871227,0.843,0.8455366098294884,1000
1,automobile,0.8557607739665787,0.973,0.9106223678053346,1000
2,bird,0.7628140703517587,0.759,0.7609022556390977,1000
3,cat,0.5886214442013129,0.807,0.6807254323070434,1000
4,deer,0.900990099009901,0.728,0.8053097345132744,1000
5,dog,0.7814702920443102,0.776,0.7787255393878575,1000
6,frog,0.9427570093457944,0.807,0.8696120689655172,1000
7,horse,0.9010526315789473,0.856,0.877948717948718,1000
8,ship,0.9114427860696518,0.916,0.913715710723192,1000
9,truck,0.9528619528619529,0.849,0.8979375991538868,1000
