epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2624457677523295,0.5413333333333333,1.107612741279602,0.6092
2,0.8196728239165412,0.7113777777777778,0.8374294149398803,0.69
3,0.6691706634415521,0.7653111111111112,0.8943797594070435,0.7106
4,0.5771288996590508,0.8018666666666666,0.7895547325134278,0.7286
5,0.5092843002319336,0.8231555555555555,0.63211653175354,0.7856
6,0.454793063931995,0.8449555555555556,0.7384993436813354,0.7512
7,0.4018972748067644,0.8621555555555556,0.6661556049346924,0.7806
8,0.3617741745048099,0.8752888888888889,0.6582930582046509,0.776
9,0.3185069313314226,0.8898222222222222,0.6452209324836731,0.7926
10,0.28138529539108276,0.9035777777777778,0.6106217370033264,0.7952
