epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4020546423806084,0.48993333333333333,1.4407637144088745,0.5036
2,0.9708561966790094,0.6548222222222222,1.435424040222168,0.5702
3,0.7921616061634488,0.7248,0.8831000903606415,0.699
4,0.6980634224361844,0.7587777777777778,0.9101773250579834,0.6882
5,0.6287032650205824,0.7835111111111112,0.7329269586563111,0.759
6,0.5809499970383114,0.8012,0.7908892929077148,0.752
7,0.5373285322401259,0.8169333333333333,0.558859956407547,0.809
8,0.5060860479460823,0.8276444444444444,0.6235004048347473,0.793
9,0.478583510684967,0.8385111111111111,0.5956475973129273,0.8012
10,0.45997497979270086,0.8429777777777778,0.4943045447826386,0.8318
